Id,timestamp,latitude,longitude
1,1714398000.523,52.4018048,16.9513709
1,1714398000.623,52.401803,16.9513713
1,1714398000.723,52.4018012,16.9513721
1,1714398000.823,52.4017995,16.951373
1,1714398000.923,52.4017977,16.9513738
1,1714398001.023,52.4017961,16.9513748
1,1714398001.123,52.4017944,16.9513758
1,1714398001.223,52.4017927,16.9513767
1,1714398001.323,52.401791,16.9513776
1,1714398001.423,52.4017894,16.9513784
1,1714398001.523,52.4017876,16.951379
1,1714398001.623,52.401786,16.95138
1,1714398001.723,52.4017843,16.9513808
1,1714398001.823,52.4017827,16.9513817
1,1714398001.923,52.4017809,16.9513824
1,1714398002.023,52.4017791,16.951383
1,1714398002.123,52.4017773,16.9513832
1,1714398002.223,52.4017754,16.9513836
1,1714398002.323,52.4017736,16.951384
1,1714398002.423,52.4017718,16.9513845
1,1714398002.523,52.40177,16.951385
1,1714398002.623,52.4017682,16.9513853
1,1714398002.723,52.4017663,16.9513856
1,1714398002.823,52.4017645,16.951386
1,1714398002.923,52.4017626,16.9513865
1,1714398003.023,52.4017608,16.9513868
1,1714398003.123,52.401759,16.9513872
1,1714398003.223,52.4017572,16.9513877
1,1714398003.323,52.4017555,16.9513884
1,1714398003.423,52.4017539,16.9513891
1,1714398003.523,52.4017522,16.9513898
1,1714398003.623,52.4017505,16.9513906
1,1714398003.723,52.401749,16.9513914
1,1714398003.823,52.4017474,16.9513922
1,1714398003.923,52.4017459,16.9513932
1,1714398004.023,52.4017443,16.9513941
1,1714398004.123,52.4017427,16.9513949
1,1714398004.223,52.4017412,16.9513957
1,1714398004.323,52.4017396,16.9513965
1,1714398004.423,52.4017381,16.9513974
1,1714398004.523,52.4017366,16.9513982
1,1714398004.623,52.401735,16.9513989
1,1714398004.723,52.4017333,16.9513994
1,1714398004.823,52.4017317,16.9514001
1,1714398004.923,52.4017301,16.9514007
1,1714398005.023,52.4017285,16.9514016
1,1714398005.123,52.4017271,16.9514026
1,1714398005.223,52.4017256,16.9514036
1,1714398005.323,52.401724,16.9514045
1,1714398005.423,52.4017224,16.9514053
1,1714398005.523,52.4017208,16.951406
1,1714398005.623,52.4017191,16.9514066
1,1714398005.723,52.4017174,16.951407
1,1714398005.823,52.4017156,16.951407
1,1714398005.923,52.4017138,16.951407
1,1714398006.023,52.4017121,16.951407
1,1714398006.123,52.4017103,16.9514072
1,1714398006.223,52.4017085,16.9514073
1,1714398006.323,52.4017068,16.9514076
1,1714398006.423,52.401705,16.951408
1,1714398006.523,52.4017033,16.9514084
1,1714398006.623,52.4017015,16.9514086
1,1714398006.723,52.4016997,16.9514088
1,1714398006.823,52.4016979,16.9514088
1,1714398006.923,52.4016962,16.9514094
1,1714398007.023,52.4016945,16.9514101
1,1714398007.123,52.401693,16.951411
1,1714398007.223,52.4016914,16.9514119
1,1714398007.323,52.4016899,16.9514129
1,1714398007.423,52.4016888,16.9514142
1,1714398007.523,52.4016877,16.9514156
1,1714398007.623,52.4016864,16.9514168
1,1714398007.723,52.4016851,16.9514178
1,1714398007.823,52.4016837,16.9514188
1,1714398007.923,52.4016821,16.9514197
1,1714398008.023,52.4016806,16.9514206
1,1714398008.123,52.4016792,16.9514217
1,1714398008.223,52.4016778,16.9514228
1,1714398008.323,52.4016764,16.9514238
1,1714398008.423,52.401675,16.9514248
1,1714398008.523,52.4016738,16.9514262
1,1714398008.623,52.4016731,16.9514277
1,1714398008.723,52.4016722,16.9514292
1,1714398008.823,52.4016712,16.9514306
1,1714398008.923,52.4016702,16.951432
1,1714398009.023,52.4016692,16.9514333
1,1714398009.123,52.4016684,16.9514349
1,1714398009.223,52.4016676,16.9514363
1,1714398009.323,52.4016664,16.9514376
1,1714398009.423,52.4016651,16.9514386
1,1714398009.523,52.4016639,16.9514397
1,1714398009.623,52.4016627,16.9514409
